id,name,year,headSize,strungWeight,balance,balancePts,swingweight,stiffness,beamWidth,pattern,tensionRange,powerLevel,strokeStyle,swingSpeed,frameProfile,identity,notes
tecnifibre-tfight-iso-315,Tecnifibre TFight ISO 315,,98,329,32,7 pts HL,324,69,"22.5,22.5,22.5",18x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 18x19 pattern",Standard,TWU: twistweight=15.2 vibration=160Hz power=41% sweetzone=17sqin
tecnifibre-trebound-265-pro,Tecnifibre TRebound 265 Pro,,105,288,34.9,2 pts HH,312,71,"23,25,23",16x19,"49,59",Medium,Medium-Full,Medium-Fast,"23/25/23mm beam, 16x19 pattern",Control,TWU: twistweight=17.2 vibration=172Hz power=40% sweetzone=17sqin
tecnifibre-trebound-295-pro,Tecnifibre TRebound 295 Pro,,105,316,33.7,2 pts HL,326,71,"23,25,23",16x19,"49,59",Medium,Medium-Full,Medium-Fast,"23/25/23mm beam, 16x19 pattern",Control,TWU: twistweight=15.1 vibration=154Hz power=42% sweetzone=17sqin
tecnifibre-trebound-298-iga,Tecnifibre TRebound 298 IGA,,98,312,33,4 pts HL,319,71,"23,25,23",16x19,"49,59",Medium,Medium-Full,Medium-Fast,"23/25/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15 vibration=159Hz power=41% sweetzone=16sqin
volkl-c10-evo,Volkl C10 EVO,,98,323,33,4 pts HL,319,63,"20,20,20",16x19,"50,60",Low-Medium,Full,Fast,"20/20/20mm beam, 16x19 pattern",Standard,TWU: twistweight=13.5 vibration=144Hz power=41% sweetzone=16sqin
volkl-c10-pro,Volkl C10 Pro,,98,343,31.1,10 pts HL,338,63,"20,20,20",16x19,"50,60",Low-Medium,Full,Fast,"20/20/20mm beam, 16x19 pattern",Control,TWU: twistweight=13.5 vibration=143Hz power=41% sweetzone=16sqin
volkl-c10-pro-2012,Volkl C10 Pro 2012,2012,98,347,31.6,8 pts HL,331,65,"20,20,20",16x19,"50,60",Low-Medium,Full,Fast,"20/20/20mm beam, 16x19 pattern",Control,TWU: twistweight=14.2 vibration=134Hz power=42% sweetzone=17sqin
volkl-classic-c10-pro,Volkl Classic C10 Pro,,98,346,31.7,8 pts HL,326,64,"20,20,20",16x19,"50,60",Low-Medium,Full,Fast,"20/20/20mm beam, 16x19 pattern",Control,TWU: twistweight=12.3 vibration=137Hz power=41% sweetzone=16sqin
volkl-v-cell-10-300g,Volkl V-Cell 10 300g,,98,315,33.5,2 pts HL,311,69,"20,20,20",16x19,"50,60",Low-Medium,Full,Fast,"20/20/20mm beam, 16x19 pattern",Standard,TWU: twistweight=14.1 vibration=151Hz power=40% sweetzone=15sqin
volkl-v-cell-10-320g,Volkl V-Cell 10 320g,,98,335,32,7 pts HL,319,67,"20,20,20",16x19,"50,60",Low-Medium,Full,Fast,"20/20/20mm beam, 16x19 pattern",Standard,TWU: twistweight=13.7 vibration=146Hz power=41% sweetzone=16sqin
volkl-v-cell-4,Volkl V-Cell 4,,105,289,33.5,5 pts HL,304,68,"22,24,22",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"22/24/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15.3 vibration=160Hz power=39% sweetzone=15sqin length=27.6in
volkl-v-cell-6,Volkl V-Cell 6,,100,289,33.8,2 pts HL,303,69,"22,24,22",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"22/24/22mm beam, 16x19 pattern",Standard,TWU: twistweight=13.4 vibration=164Hz power=39% sweetzone=14sqin
volkl-v-cell-8-285g,Volkl V-Cell 8 (285g),,100,298,33,4 pts HL,303,70,"22,24,22",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"22/24/22mm beam, 16x19 pattern",Standard,TWU: twistweight=13.2 vibration=162Hz power=39% sweetzone=14sqin
volkl-v-cell-8-300g,Volkl V-Cell 8 (300g),,100,312,32.6,5 pts HL,312,67,"22,24,22",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"22/24/22mm beam, 16x19 pattern",Standard,TWU: twistweight=13.2 vibration=165Hz power=40% sweetzone=15sqin
volkl-v-cell-8-315g,Volkl V-Cell 8 (315g),,100,326,32,7 pts HL,315,66,"22,24,22",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"22/24/22mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=148Hz power=40% sweetzone=16sqin
volkl-v-cell-9,Volkl V-Cell 9,,100,326,32.5,6 pts HL,317,68,"22,24,22",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"22/24/22mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=159Hz power=41% sweetzone=16sqin
volkl-v-cell-v1-pro,Volkl V-Cell V1 Pro,,100,315,33,4 pts HL,316,68,"24,28,24",16x19,"50,60",Medium,Medium,Medium,"24/28/24mm beam, 16x19 pattern",Control,TWU: twistweight=14.1 vibration=151Hz power=40% sweetzone=16sqin
volkl-v-feel-1,Volkl V-Feel 1,,115,272,36.6,4 pts HH,313,70,"24,28,24",16x19,"50,60",Medium,Medium,Medium,"24/28/24mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=182Hz power=40% sweetzone=16sqin length=27.8in
volkl-v-feel-10-300g,Volkl V-Feel 10 (300g),,98,318,33.5,2 pts HL,312,69,"24,28,24",16x19,"50,60",Medium,Medium,Medium,"24/28/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.2 vibration=158Hz power=40% sweetzone=15sqin
volkl-v-feel-10-320g,Volkl V-Feel 10 (320g),,98,337,32.5,6 pts HL,323,66,"24,28,24",16x19,"50,60",Medium,Medium,Medium,"24/28/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.7 vibration=147Hz power=41% sweetzone=17sqin
volkl-v-feel-4,Volkl V-Feel 4,,105,292,33.5,5 pts HL,305,69,"24,28,24",16x19,"50,60",Medium,Medium,Medium,"24/28/24mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=166Hz power=39% sweetzone=15sqin length=27.6in
